"relative_path","name","extension","bytes","sha256","under_extracted"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/includes/class-ngt-verifier.php","class-ngt-verifier.php",".php","7825","F676B8EFC4407E83AB8A6472765E064B83043BF34CB4C95FCC3A63BB93F2BE2A","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/includes/class-ngt-workflows.php","class-ngt-workflows.php",".php","6433","4ADF4116541DE8004CC410A278C686B6A1AD84D0032559B4388ABE23949ECC15","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/resources/Consent Withdrawal Handler.php","Consent Withdrawal Handler.php",".php","999","92AC11B83DD56376A03AB59ADC7CAE026A8C3EDED86FB164A9D60D762E38C5FE","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/resources/Create-Backup-Script.sh","Create-Backup-Script.sh",".sh","1545","BF50750FDA794D6DACB52CE6A692BCE8B80105EB0C428FC17B6968A35A9A8C01","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/resources/Exact-Production-Deliverables.php","Exact-Production-Deliverables.php",".php","4110","D7891AA59B8332E2FFDA83C447E6087ED9F3A49C80CFEBCB80461E86430247B1","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/resources/functions-enhanced.php","functions-enhanced.php",".php","54652","085450A16EF74B3EC3733C4BE7E4793E609A165297AAC71732EA679B96024CF2","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/resources/Secure Wrapper Script.sh","Secure Wrapper Script.sh",".sh","1882","8DE72630B2E3762195A95018CD8BEEC7A8154009DE9B646284E64A718A0984B4","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/resources/seed-demo-data.php","seed-demo-data.php",".php","9085","057433645395EB29869510A91A22C548A66C76D4FA28D1354B91F12C7B355936","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/resources/setup-ngt-platform.php","setup-ngt-platform.php",".php","13598","C685A815FA2E496FE745BC7EABF649FE166BDEBB69B63F096DCF8CCD39094404","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/resources/Verification&Compliance-Checklist.sh","Verification&Compliance-Checklist.sh",".sh","531","1244A17B9C9C4286DA1BCFC6DD23291A16EF75B8B8CFC940B0D13ACD74697A2E","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/resources/Verification&Compliance.sh","Verification&Compliance.sh",".sh","413","8E82ED0DD9C1F842FB2F4476AE10287857876274C71DDF4176B0A3507297919C","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/resources/Verification-of-woo-products.sh","Verification-of-woo-products.sh",".sh","173","85571EC5C0DCF9A256E47E54BFDE316AB4D5C92369436BF9316096DA5924EF87","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/resources/WooCommerce-Checkout-Hook.php","WooCommerce-Checkout-Hook.php",".php","4110","D7891AA59B8332E2FFDA83C447E6087ED9F3A49C80CFEBCB80461E86430247B1","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/resources/WP-CLI Bulk Contact Import Script.php","WP-CLI Bulk Contact Import Script.php",".php","2661","95446EB09B1C934378CBA8AAD6A57619D632FE064048FEDD700A46E89AD9DE5C","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/templates/popia-consent-form.php","popia-consent-form.php",".php","650","9A6CE84F36D91A07C7632892BD7D5FFA3B3EA69BA2DE36F56CEE6E31D9EBEE93","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/templates/admin/alerts.php","alerts.php",".php","1780","C896B56B0BEE8851CBB63E24BCF951902D0E16468DD755B3D35ABE6F68254523","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/templates/admin/billing.php","billing.php",".php","3585","F14E077D53F49370DFD6E36715B14D389B6498C61564721288F836C013D6A6C4","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/templates/admin/dashboard.php","dashboard.php",".php","8398","F9893286819BA3D3E22136FD3355346DC60CD2E95327209DB4A1AE8235FA8F37","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/templates/admin/exporter.php","exporter.php",".php","2889","17F795D4F6660A196DE2147ED94269EEFFF1C411CF8FD754B3DA5F40F60AD90F","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/templates/admin/importer.php","importer.php",".php","2758","36AB212F76E2A7C7CD395BAD962A835B034EE0DCAC9E03DE967CD3720ADFD444","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/templates/admin/logs.php","logs.php",".php","2397","5523F944322FBF71FC13E99147D5F54E3CC84A72960622C65A8D403343D04D3F","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/templates/admin/seeder.php","seeder.php",".php","2486","237227DB3FC127A71A4E86CA7302B15EEB2DAD3A89EDD1FF0F51AE1474F0EBFE","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/templates/admin/settings.php","settings.php",".php","4120","EB97F1F85AD351E8F21B82D858AA15E22BBFADBD5261F6C0260EFF302690D3EC","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/templates/admin/verification.php","verification.php",".php","2728","1A79FBF153A4F57E1FF890955B8FF53812E78BA53B1A184B8FFAD66669AD1C74","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/templates/admin/workflows.php","workflows.php",".php","6457","03BCF5B1DE18225A1A21A2C7FD001D8ACD6B5856F16B813C81FE7CF12EAF094E","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/templates/emails/Exact POPIA-Compliant Email .html","Exact POPIA-Compliant Email .html",".html","5311","129994F5EDFD32EFE0763759717296E40100EDAC592A30C0DE9FE6FA22EE84ED","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/templates/emails/POPIA-Compliant-Consent-Form-HTML.html","POPIA-Compliant-Consent-Form-HTML.html",".html","3221","441CA399D449E6BDA28A6954B1281E68BCDEC4AE0DB576BDF53F4571854160BA","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/templates/emails/POPIA-Compliant-Email-Template.html","POPIA-Compliant-Email-Template.html",".html","2190","FF4B38696258A6EBF1278B31DEC917C5955FCA26F66F6EB6A7456BD9CD0341B2","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/templates/emails/Session Rating Request.html","Session Rating Request.html",".html","2811","63727AA032150D682A39CB2CD832BD83B6098C7B8CFCAA84EB094E0672B8F5A0","True"
"_extracted/nextgen-tutors-core/nextgen-tutors-core/templates/emails/Tutor Approval & Welcome.html","Tutor Approval & Welcome.html",".html","3119","D066A62AEB43622A93F9F6194A57D4A2C6934F5015801821856AD8EBA7CAB19F","True"
